dates,gate_0,gate_1,gate_2,gate_3,gate_4,gate_5,gate_6,gate_7,gate_8,gate_9,gate_10,gate_11,gate_12,gate_13,gate_14,gate_15,gate_16,gate_17,gate_18,gate_19,gate_20,gate_21,gate_22,gate_23,gate_24,gate_25,gate_26,gate_27,gate_28,gate_29,gate_30,gate_31,gate_32,gate_33,gate_34,gate_35,gate_36,gate_37,gate_38,gate_39,gate_40,gate_41,gate_42,gate_43,gate_44,gate_45,gate_46,gate_47,gate_48,gate_49,gate_50,gate_51,gate_52,gate_53,gate_54,gate_55,gate_56,gate_57,gate_58,gate_59,gate_60,gate_61,gate_62,gate_63,gate_64,gate_65,gate_66,gate_67,gate_68,gate_69,gate_70,gate_71,gate_72,gate_73,gate_74,gate_75,gate_76,gate_77,gate_78,gate_79,gate_80,gate_81,gate_82,gate_83,gate_84,gate_85,gate_86,gate_87,gate_88,gate_89,gate_90,gate_91,gate_92,gate_93,gate_94,gate_95,gate_96,gate_97,gate_98,gate_99,gate_100
2023-10-14 00:00:00,0.4605639873394858,0.4127355547629755,0.38608830787648685,0.39055145204020136,0.3823426970381403,0.381605952763471,0.3851011347097554,0.39568388370793883,0.39923261040212965,0.40425595533436054,0.416029702051366,0.44690829471102234,0.4890735299514327,0.5230397310315594,0.5679807882419807,0.5810257039551798,0.5724595860560072,0.5790730587553503,0.5741514853559366,0.5813615960033147,0.5771408790223033,0.5777644984320343,0.5772790068799927,0.5817058827000687,0.585001459472245,0.5901918176618351,0.5972861820202588,0.6062929534375097,0.6077206803229722,0.6112525617727491,0.6262233097411918,0.6339033459527627,0.6345690010193341,0.6433376702431461,0.6485319792227556,0.6649375547445969,0.6747193244879297,0.6747845094066978,0.6893408060706637,0.6943218351190599,0.7052641011335565,0.7187702240679272,0.7313272460967672,0.7418177738835172,0.7514993695607619,0.7595658971549214,0.7748071847069362,0.7886985061679955,0.7979235333787719,0.8141385263648816,0.829601333773746,0.8370804236431214,0.8517329757195986,0.8658859930881498,0.8802312947447938,0.8942013399570958,0.9157033783493491,0.9232298282515833,0.9454320990084485,0.9607342044589233,0.9776797390083064,0.9945945659896082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-14 00:01:00,0.7517277060264309,0.7023869261161668,0.6741304550707671,0.6765856866356168,0.6665829616446581,0.6640147736995636,0.665556305610886,0.6741599518026179,0.6757713995815223,0.6788221455714283,0.6886078455179695,0.7176417420647105,0.7578125460213552,0.7900045461050137,0.8330261626182461,0.844077339221032,0.833667825800759,0.838161190697585,0.8313142286150061,0.836417176031769,0.830281530866012,0.828860669582596,0.8263816457440945,0.8286861357988847,0.82991206648822,0.8329957546439134,0.8379469867404626,0.8447748252529768,0.8441086209877307,0.8455076374619995,0.8581914576521954,0.863665017859574,0.8621989440625976,0.8687790998876279,0.871763999574984,0.8858160537826735,0.8933135667644011,0.891252190711296,0.903448634485298,0.9062254467620928,0.9148305040503266,0.9259614454133697,0.9362011712090721,0.9443324338270195,0.9517107869637508,0.9574258387782281,0.9702872143933262,0.9817481254465072,0.988582929766174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-14 00:02:00,,0.9875164606850125,0.9577375707040972,0.958246167727485,0.9465185275289484,0.942179624707589,0.9418268622915046,0.9485030345674871,0.9482353046205593,0.9493706353802094,0.9572181885877333,0.9844318242319534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-14 00:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-14 00:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-14 00:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-14 00:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-14 00:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-14 00:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-14 00:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
