time,frequency,fd
2024-04-08 17:15:00,15,-0.09392715073354602
2024-04-08 17:15:00,15,-0.11046670498105163
2024-04-08 17:15:00,15,-0.10203836456327812
2024-04-08 17:15:00,15,-0.12150611783052012
2024-04-08 17:15:00,15,-0.4639769975125526
2024-04-08 17:15:00,15,-0.12310214252925714
2024-04-08 17:15:00,15,-0.10103750303707369
2024-04-08 17:15:00,15,-0.3141321725524476
2024-04-08 17:15:00,15,-0.34708829838074035
2024-04-08 17:15:00,15,-0.30570622417549836
2024-04-08 17:15:00,15,-0.2733299781193173
2024-04-08 17:15:00,15,-0.2435458771529793
2024-04-08 17:15:00,15,-0.22600157310879224
2024-04-08 17:15:00,15,-0.1889267012257715
2024-04-08 17:15:00,15,-0.16927907461839045
2024-04-08 17:15:00,15,-0.1523423905322083
2024-04-08 17:15:00,15,-0.14919437426285348
2024-04-08 17:15:00,15,-0.1322425891347507
2024-04-08 17:15:00,15,-0.11475798456224827
2024-04-08 17:15:00,15,-0.11536875229655053
2024-04-08 17:15:00,15,-0.10210942602825131
2024-04-08 17:15:00,15,-0.08752736953614246
2024-04-08 17:15:00,15,-0.07886515018276181
2024-04-08 17:15:00,15,-0.07573405753317172
2024-04-08 17:15:00,15,-0.07381599315008852
2024-04-08 17:15:00,15,-0.06192357212903425
2024-04-08 17:15:00,15,-0.06381675532798932
2024-04-08 17:15:00,15,-0.05629755689072978
2024-04-08 17:15:00,15,-0.050378651065322785
2024-04-08 17:15:00,15,-0.041809131287192755
2024-04-08 17:15:00,15,-0.04698954906636113
2024-04-08 17:15:00,15,-0.037360950774018575
2024-04-08 17:15:00,15,-0.03404754735268416
2024-04-08 17:15:00,15,-0.017456255668740185
2024-04-08 17:15:00,15,-0.021449235802673314
2024-04-08 17:15:00,15,-0.04336216571903362
2024-04-08 17:15:00,15,0.003779186095466819
2024-04-08 17:15:00,15,0.015108187045434943
2024-04-08 17:15:00,15,0.034592293467890785
2024-04-08 17:15:00,15,0.2754770338991324
2024-04-08 17:15:00,15,-0.47259576914816104
2024-04-08 17:15:00,15,-0.19627734377572298
2024-04-08 17:15:00,15,-0.37669664199843517
2024-04-08 17:20:00,15,-0.08298535229929588
2024-04-08 17:20:00,15,-0.09271672377692575
2024-04-08 17:20:00,15,-0.11457376845459674
2024-04-08 17:20:00,15,-0.09192483792508879
2024-04-08 17:20:00,15,-0.0798239252350105
2024-04-08 17:20:00,15,-0.0777417719066596
2024-04-08 17:20:00,15,-0.013338188892830935
2024-04-08 17:20:00,15,-0.07112783563452413
2024-04-08 17:20:00,15,0.02219575810573919
2024-04-08 17:20:00,15,-0.03765082896001363
2024-04-08 17:20:00,15,-0.06681094886981845
2024-04-08 17:20:00,15,-0.0723743079559429
2024-04-08 17:20:00,15,-0.055176055392736255
2024-04-08 17:20:00,15,-0.16357139525585923
